PbID	Yeastpheno
PBANKA_111050	viable 
PBANKA_102860	inviable 
PBANKA_114240	viable 
PBANKA_135720	viable 
PBANKA_020720	viable 
PBANKA_071470	inviable 
PBANKA_121350	inviable 
PBANKA_146080	inviable 
PBANKA_132070	viable 
PBANKA_050930	inviable 
PBANKA_100610	viable 
PBANKA_134740	viable 
PBANKA_131740	viable 
PBANKA_135080	viable 
PBANKA_031120	viable 
PBANKA_094220	inviable 
PBANKA_141000	inviable 
PBANKA_135400	viable 
PBANKA_090510	viable 
PBANKA_092810	inviable 
PBANKA_145990	inviable 
PBANKA_081560	viable 
PBANKA_051240	inviable 
PBANKA_120220	inviable 
PBANKA_051690	viable 
PBANKA_131540	competitive fitness: decreased 
PBANKA_101520	viable 
PBANKA_030560	inviable 
PBANKA_051660	inviable 
PBANKA_133990	inviable 
PBANKA_113640	viable 
PBANKA_123780	viable 
PBANKA_144070	inviable 
PBANKA_113080	competitive fitness: decreased 
PBANKA_113940	viable 
PBANKA_010210	viable 
PBANKA_112450	inviable 
PBANKA_040240	viable 
PBANKA_061880	viable 
PBANKA_070220	competitive fitness: decreased 
PBANKA_041520	#N/A
PBANKA_060270	viable 
PBANKA_091460	viable 
PBANKA_072060	inviable 
PBANKA_070600	inviable 
PBANKA_051250	inviable 
PBANKA_114150	viable 
PBANKA_135590	viable 
PBANKA_146450	inviable 
PBANKA_050980	viable 
PBANKA_100680	inviable 
PBANKA_071920	viable 
PBANKA_143020	viable 
PBANKA_021020	inviable 
PBANKA_060080	viable 
PBANKA_130920	viable 
PBANKA_060430	#N/A
PBANKA_121600	viable 
PBANKA_131810	viable 
PBANKA_142990	inviable 
PBANKA_122160	inviable 
PBANKA_040680	inviable 
PBANKA_061030	viable 
PBANKA_142880	viable 
PBANKA_113750	inviable 
PBANKA_141340	inviable 
PBANKA_062190	inviable 
PBANKA_110570	inviable 
PBANKA_070430	competitive fitness: decreased 
PBANKA_140630	viable 
PBANKA_103160	inviable 
