Gene,Total,Ring,Tro,Sch,Gam,Ook
PBANKA_010780,162.85003,0.076555712,0.060213161,0.053382643,0.185126463,0.624722022
PBANKA_010790,337.9656667,0.090114331,0.073522409,0.26953729,0.087974469,0.478851501
PBANKA_010800,171.9612333,0.159953493,0.219377933,0.340757326,0.133107617,0.14680363
PBANKA_010810,50.89755667,0.101595741,0.078496204,0.218477089,0.3743942,0.227036766
PBANKA_010820,185.5756533,0.316436984,0.212815363,0.341319289,0.061508069,0.067920296
PBANKA_010830,1206.676843,0.047709542,0.003907848,0.37631492,0.494890163,0.077177526
PBANKA_010840,173.35915,0.089799702,0.296133778,0.396702164,0.112162525,0.105201831
PBANKA_010850,264.8447333,0.268636454,0.352031354,0.091039756,0.056052464,0.232239972
PBANKA_010860,411.39595,0.265960688,0.349512434,0.165649054,0.042665588,0.176212235
PBANKA_010870,597.5108667,0.217531776,0.308784342,0.097980059,0.081065388,0.294638435
PBANKA_010880,3784.707783,0.054509889,0.024117833,0.56898184,0.248760949,0.103629489
PBANKA_010890,606.3523033,0.212485381,0.595516003,0.106532951,0.055775743,0.029689923
PBANKA_010900,1473.430433,0.11352012,0.607394472,0.167787698,0.026658944,0.084638766
PBANKA_010910,887.3796167,0.099089384,0.431626435,0.131569283,0.041743859,0.295971038
PBANKA_010920,263.2226133,0.249695112,0.29496269,0.203131484,0.018874632,0.233336082
PBANKA_010930,417.3226333,0.135425078,0.12193827,0.499201297,0.152072869,0.091362486
PBANKA_010940,601.7255,0.051042876,0.371249847,0.325134966,0.10948032,0.143091991
PBANKA_010950,383.2737,0.100503635,0.459961119,0.197260339,0.141625162,0.100649745
PBANKA_010960,679.1898333,0.071989667,0.277752244,0.252177656,0.133466441,0.264613992
PBANKA_010970,256.5678667,0.246590701,0.27944653,0.210665703,0.177595506,0.085701561
PBANKA_010980,658.380485,0.057086595,0.00405994,0.039729914,0.8519686,0.047154952
PBANKA_010990,913.84682,0.076405037,0.00728122,0.262652334,0.617431705,0.036229704
